total_sleep_hour,bedtime_hour,wakeup_hour,steps,avg_heart_rate_evening,max_heart_rate_evening,sleep_quality
8.32,25.72,10.03,120,72.39,93,1
9.03,25.32,10.35,373,76.55,92,0
9.22,25.32,10.53,120,69.89,88,0
8.67,25.18,9.85,12,70.44,85,0
8.82,26.17,10.98,641,76.1,100,0
7.22,25.28,8.5,51,74.06,104,0
6.85,25.47,8.32,38,72.78,85,0
8.75,24.62,9.37,225,68.37,81,0
7.48,25.65,9.13,141,66.05,89,0
9.87,23.93,9.8,316,72.0,91,1
10.08,24.13,10.22,26,75.61,91,0
10.7,24.82,11.52,66,71.83,92,1
6.53,26.25,8.78,510,85.72,110,0
7.98,25.97,9.95,169,66.39,88,0
7.65,25.35,9.0,19,70.22,83,0
10.28,24.7,10.98,1493,85.31,138,1
5.83,24.95,6.78,484,78.8,104,0
7.93,25.87,9.8,30,69.0,80,0
6.35,25.17,7.52,1418,93.77,119,1
6.5,25.65,8.15,148,71.72,92,1
7.93,26.37,10.3,615,82.8,126,1
8.17,25.05,9.22,84,75.06,109,1
9.65,24.73,10.38,89,73.78,88,1
9.58,24.78,10.37,75,67.21,79,1
9.68,24.68,10.37,175,74.28,95,1
7.58,25.57,9.15,1044,82.42,121,1
10.42,24.87,11.28,116,80.83,93,1
8.3,24.38,8.68,153,71.15,97,0
8.83,24.92,9.75,76,68.83,83,1
9.97,24.78,10.75,57,71.84,96,0
7.0,25.02,8.02,69,69.33,91,1
8.3,24.47,8.77,374,77.38,119,0
9.3,24.5,9.8,110,69.22,88,1
9.17,24.48,9.65,125,79.44,96,1
9.85,23.8,9.65,169,71.53,92,1
9.68,24.32,10.0,200,75.5,98,1
10.5,23.63,10.13,69,72.0,86,1
8.0,25.3,9.3,49,76.94,101,1
9.1,25.23,10.33,604,88.84,131,0
9.55,23.57,9.12,240,74.28,90,1
8.68,24.17,8.85,130,79.11,98,0
8.32,24.67,8.98,410,80.61,100,1
8.75,23.82,8.57,108,74.89,97,0
9.68,24.5,10.18,113,72.28,82,0
9.67,24.18,9.85,175,77.44,90,0
7.65,24.48,8.13,157,74.67,93,0
8.55,23.78,8.33,395,82.9,102,0
8.28,24.08,8.37,225,75.5,89,1
6.73,24.4,7.13,70,78.5,101,1
8.97,24.05,9.02,151,68.83,79,0
10.32,23.75,10.07,100,72.88,88,1
7.97,24.17,8.13,127,65.39,85,0
7.62,24.95,8.57,20,69.0,80,0
9.5,24.15,9.65,262,75.06,90,1
7.1,25.53,8.63,895,88.79,144,1
7.68,25.5,9.18,5,67.5,73,0
9.87,24.08,9.95,279,80.17,102,1
9.3,24.2,9.5,127,73.55,100,0
9.6,24.0,9.6,197,73.26,89,0
9.22,24.05,9.27,316,66.17,89,0
6.65,22.53,5.18,533,81.8,124,1
5.07,24.02,5.08,302,83.83,104,1
6.6,22.85,5.45,205,74.78,88,0
7.03,22.7,5.73,61,75.06,96,1
6.65,23.03,5.68,531,79.7,131,0
5.65,24.77,6.42,4021,90.54,120,1
8.75,24.78,9.53,110,70.39,85,1
8.55,24.8,9.35,184,72.67,97,1
9.2,24.57,9.77,1661,90.94,137,1
7.93,25.35,9.28,9,74.83,97,1
7.52,25.22,8.73,219,79.33,108,1
7.5,25.45,8.95,240,77.28,88,0
8.53,24.3,8.83,1882,92.81,142,1
8.3,24.98,9.28,121,76.39,107,0
8.68,24.78,9.47,128,70.61,84,1
8.67,24.78,9.45,147,68.61,88,1
8.92,24.82,9.73,190,84.61,115,0
10.75,23.77,10.52,93,68.5,87,0
8.77,23.98,8.75,182,71.72,85,1
6.32,27.42,9.73,596,80.24,106,0
9.83,25.9,11.73,396,71.32,100,0
5.52,27.88,9.4,43,64.33,87,1
8.55,25.08,9.63,612,83.95,114,0
8.28,25.72,10.0,517,81.35,105,0
8.28,25.92,10.2,39,72.39,92,0
9.92,24.45,10.37,228,76.5,89,0
9.3,23.37,8.67,110,75.5,92,0
7.75,26.03,9.78,99,76.0,98,1
6.77,26.18,8.95,582,76.9,127,0
8.12,25.68,9.8,59,73.72,97,1
