heart_rate,steps,calories,distance,previous_heart_rate
110,115,2,82,92.0
130,13,0,9,130.0
96,6,0,4,105.0
92,105,1,72,100.0
98,26,0,18,102.0
83,16,0,10,101.0
87,99,1,69,87.0
105,103,2,70,90.0
91,65,1,45,91.0
84,106,1,71,84.0
92,60,1,39,92.0
114,96,1,67,114.0
98,112,2,80,116.0
84,1,0,0,76.0
86,36,1,25,94.0
78,79,1,53,71.0
74,55,0,39,74.0
99,14,1,10,102.0
88,111,1,76,88.0
93,103,1,70,96.0
69,30,0,20,67.0
128,107,1,73,128.0
86,105,1,74,99.0
108,116,2,79,108.0
74,6,1,5,74.0
98,46,0,32,98.0
127,110,2,77,127.0
122,94,2,66,122.0
85,22,0,15,85.0
94,117,2,83,94.0
80,103,1,73,111.0
103,114,2,81,103.0
85,97,1,67,93.0
123,114,1,79,123.0
90,106,1,72,90.0
110,124,1,83,110.0
80,88,1,63,80.0
74,10,1,7,71.0
131,58,0,39,88.0
81,107,2,77,84.0
80,37,0,25,80.0
94,37,0,24,94.0
73,28,1,20,73.0
83,7,0,4,83.0
82,121,2,85,103.0
115,25,1,18,115.0
76,23,1,16,71.0
134,81,1,52,134.0
99,90,2,64,99.0
98,41,0,27,98.0
88,42,0,29,88.0
117,124,3,88,117.0
102,92,1,61,102.0
125,121,1,81,100.0
87,68,0,45,87.0
85,101,1,70,85.0
62,10,0,6,65.0
68,13,1,9,68.0
84,105,1,73,100.0
107,16,1,11,74.0
70,38,2,27,70.0
69,12,1,9,69.0
75,103,2,74,98.0
79,100,2,71,77.0
89,13,0,8,89.0
101,109,2,78,101.0
110,88,1,56,110.0
83,63,0,40,83.0
90,111,1,79,80.0
84,113,2,81,84.0
78,34,1,23,89.0
84,95,1,62,109.0
106,105,1,72,111.0
84,82,2,58,64.0
121,109,1,73,117.0
98,103,1,71,98.0
126,1,0,0,126.0
133,115,2,83,130.0
106,106,1,68,106.0
126,65,2,48,126.0
101,51,0,34,101.0
118,4,1,3,118.0
74,3,0,2,72.0
94,54,1,38,94.0
92,1,1,1,130.0
81,116,2,81,81.0
131,70,2,50,84.0
71,8,1,6,77.0
83,11,1,8,79.0
94,110,1,76,94.0
124,115,2,80,99.0
104,110,2,79,125.0
103,27,0,17,103.0
94,103,1,71,77.0
88,7,0,4,77.0
92,120,1,81,92.0
100,124,1,83,100.0
140,64,1,44,117.0
118,112,1,77,118.0
97,102,2,71,97.0
79,103,1,70,79.0
95,114,4,80,95.0
92,9,0,6,90.0
112,107,1,71,112.0
107,112,1,78,107.0
84,15,0,9,84.0
83,7,0,4,83.0
105,105,2,71,87.0
129,111,1,76,129.0
118,80,1,55,118.0
98,98,1,66,101.0
87,8,1,6,97.0
83,12,0,8,85.0
150,49,0,33,150.0
91,39,1,27,116.0
122,57,1,40,122.0
79,11,0,7,79.0
83,119,2,88,89.0
93,9,0,6,93.0
73,4,0,2,102.0
75,5,1,4,54.0
93,108,1,77,93.0
76,103,2,71,76.0
98,126,3,89,78.0
114,102,1,69,104.0
100,7,0,5,100.0
85,90,1,63,98.0
83,1,0,0,105.0
92,114,1,78,63.0
127,88,1,60,127.0
71,8,0,5,71.0
93,22,1,16,94.0
81,112,1,80,81.0
82,94,1,64,82.0
129,35,0,23,125.0
114,105,2,72,114.0
93,109,2,74,93.0
89,38,0,25,89.0
98,103,1,69,101.0
79,7,1,5,79.0
74,116,3,83,62.0
114,118,2,84,114.0
104,93,1,62,102.0
109,49,0,35,99.0
81,107,2,75,80.0
92,43,0,28,82.0
80,9,1,6,76.0
125,113,1,79,125.0
72,21,0,15,83.0
109,111,1,78,94.0
129,112,2,79,119.0
102,102,1,68,73.0
87,110,1,79,87.0
88,111,1,74,88.0
92,7,0,4,110.0
93,104,1,70,75.0
137,118,2,80,137.0
85,110,2,77,85.0
83,27,0,18,83.0
111,81,1,55,111.0
86,37,1,26,86.0
119,115,1,81,119.0
99,103,1,73,84.0
102,81,2,55,102.0
95,27,1,19,90.0
